O74740	accession	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
P53297	P53297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	722		False
P80680	P80680	Zea mays	Plants	97		False
Q8TBK2	Q8TBK2	Homo sapiens	Metazoa	473		False
Q9SZI6	Q9SZI6	Arabidopsis thaliana	Plants	352		False
P46062	P46062	Mus musculus	Metazoa	1037		False
Q948R9	Q948R9	Arabidopsis thaliana	Plants	314		False
Q9HD42	Q9HD42	Homo sapiens	Metazoa	196		False
O74829	O74829	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	516		True
Q15847	Q15847	Homo sapiens	Metazoa	76		False
O43808	O43808	Homo sapiens	Metazoa	307		True
Q9H299	Q9H299	Homo sapiens	Metazoa	93		False
Q14061	Q14061	Homo sapiens	Metazoa	63		False
Q659A1	Q659A1	Homo sapiens	Metazoa	982		False
Q9H0R1	Q9H0R1	Homo sapiens	Metazoa	490		False
P46947	P46947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	266		False
Q9FR37	Q9FR37	Arabidopsis thaliana	Plants	425		False
Q3UHU5	Q3UHU5	Mus musculus	Metazoa	1945		False
Q9Z2T2	Q9Z2T2	Rattus norvegicus	Metazoa	336		True
Q96T21	Q96T21	Homo sapiens	Metazoa	854		False
Q06835	Q06835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	107		False
Q9BXW9	Q9BXW9	Homo sapiens	Metazoa	1451		False
Q9NX52	Q9NX52	Homo sapiens	Metazoa	303		True
Q7S2C2	Q7S2C2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	119		False
Q00613	Q00613	Homo sapiens	Metazoa	529		False
Q7XHR2	Q7XHR2	Oryza sativa subsp. japonica	Plants	927		False
Q5PQZ7	Q5PQZ7	Danio rerio	Metazoa	352		True
Q96SQ7	Q96SQ7	Homo sapiens	Metazoa	321		False
Q90ZS6	Q90ZS6	Xenopus laevis	Metazoa	1271		False
Q9SX99	Q9SX99	Arabidopsis thaliana	Plants	261		False
Q6NL34	Q6NL34	Drosophila melanogaster	Metazoa	543		False
Q6UXN9	Q6UXN9	Homo sapiens	Metazoa	313		False
Q8WZK3	Q8WZK3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	138		False
Q53F19	Q53F19	Homo sapiens	Metazoa	620		False
Q96MH2	Q96MH2	Homo sapiens	Metazoa	286		False
Q75WB5	Q75WB5	Bos taurus	Metazoa	1288		False
Q9ZST4	Q9ZST4	Arabidopsis thaliana	Plants	196		False
P38282	P38282	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291		False
P25963	P25963	Homo sapiens	Metazoa	317		False
Q9BPY3	Q9BPY3	Homo sapiens	Metazoa	351		False
Q9UPX6	Q9UPX6	Homo sapiens	Metazoa	916		False
Q23064	Q23064	Caenorhabditis elegans	Metazoa	1041		False
Q09M02	Q09M02	Mus musculus	Metazoa	886		False
A0A2I0BUK1	A0A2I0BUK1	Plasmodium falciparum (isolate NF54)	Other	893		False
Q08509	Q08509	Mus musculus	Metazoa	821		False
A1ZAW0	A1ZAW0	Drosophila melanogaster	Metazoa	1722		False
Q9FL26	Q9FL26	Arabidopsis thaliana	Plants	326		False
Q15257	Q15257	Homo sapiens	Metazoa	358		False
Q9LEM8	Q9LEM8	Chlamydomonas reinhardtii	Plants	1385		False
Q12040	Q12040	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	230		False
Q9NWV8	Q9NWV8	Homo sapiens	Metazoa	329		False
P82130	P82130	Spinacia oleracea	Plants	183		False
P32349	P32349	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	654		False
P0DM40	P0DM40	Mus musculus	Metazoa	2038		False
P54791	P54791	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	529		False
Q9ZR72	Q9ZR72	Arabidopsis thaliana	Plants	1286		True
Q4V8P4	Q4V8P4	Rattus norvegicus	Metazoa	168		False
Q9LJ97	Q9LJ97	Arabidopsis thaliana	Plants	262		False
Q13685	Q13685	Homo sapiens	Metazoa	434		False
Q6P6C2	Q6P6C2	Homo sapiens	Metazoa	394		False
P78946	P78946	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	126		False
Q8TEX9	Q8TEX9	Homo sapiens	Metazoa	1081		False
P16550	P16550	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	321		False
F4IDB2	F4IDB2	Arabidopsis thaliana	Plants	1325		False
Q24174	Q24174	Drosophila melanogaster	Metazoa	904		False
Q04894	Q04894	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	360		False
Q5BKX6	Q5BKX6	Homo sapiens	Metazoa	768		True
Q9BQS6	Q9BQS6	Homo sapiens	Metazoa	159		False
Q96326	Q96326	Arabidopsis thaliana	Plants	256		True
Q7M2P1	Q7M2P1	Sus scrofa	Metazoa	76		False
Q9UTH9	Q9UTH9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	617		False
P48329	P48329	Cyanophora paradoxa	Other	180		False
Q3EBC8	Q3EBC8	Arabidopsis thaliana	Plants	1388		False
O43542	O43542	Homo sapiens	Metazoa	346		False
Q12277	Q12277	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	265		False
Q38897	Q38897	Arabidopsis thaliana	Plants	611		False
Q9H3K2	Q9H3K2	Homo sapiens	Metazoa	345		True
O14893	O14893	Homo sapiens	Metazoa	280		False
Q03188	Q03188	Homo sapiens	Metazoa	943		False
P39985	P39985	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1022		False
Q7K0D8	Q7K0D8	Drosophila melanogaster	Metazoa	564		False
Q9T0H9	Q9T0H9	Arabidopsis thaliana	Plants	359		False
Q9ULJ3	Q9ULJ3	Homo sapiens	Metazoa	1066		False
Q8WVC0	Q8WVC0	Homo sapiens	Metazoa	666		False
O94653	O94653	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1121		False
Q9UUI2	Q9UUI2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	165		False
Q99M04	Q99M04	Mus musculus	Metazoa	373		False
P28805	P28805	Spinacia oleracea	Plants	66		False
O74361	O74361	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	356		False
P43596	P43596	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	787		False
Q05779	Q05779	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	260		False
O62471	O62471	Caenorhabditis elegans	Metazoa	1592		False
Q03557	Q03557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	464		False
O14368	O14368	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	143		False
P53072	P53072	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	289		False
P35732	P35732	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	738		False
Q9HGP5	Q9HGP5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	268		False
Q9UUH3	Q9UUH3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	277		False
G4NBR8	G4NBR8	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958)	Fungi	548		False
O15068	O15068	Homo sapiens	Metazoa	1137		False
Q12405	Q12405	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	387		False
Q8WXI9	Q8WXI9	Homo sapiens	Metazoa	593		False
Q9SW31	Q9SW31	Arabidopsis thaliana	Plants	157		False
Q9UHV9	Q9UHV9	Homo sapiens	Metazoa	154		False
O60127	O60127	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	126		False
O63075	O63075	Chlamydomonas reinhardtii	Plants	238		True
Q94IN5	Q94IN5	Euglena gracilis	Other	1803		False
P38326	P38326	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	303		False
Q8NBN7	Q8NBN7	Homo sapiens	Metazoa	331		False
Q13535	Q13535	Homo sapiens	Metazoa	2644		False
Q9CQR4	Q9CQR4	Mus musculus	Metazoa	140		False
Q05648	Q05648	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	414		False
P53184	P53184	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	216		False
Q9SD80	Q9SD80	Arabidopsis thaliana	Plants	54		True
Q9CAF6	Q9CAF6	Arabidopsis thaliana	Plants	950		False
P38804	P38804	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111		False
Q9LVI4	Q9LVI4	Arabidopsis thaliana	Plants	352		False
P93203	P93203	Solanum lycopersicum	Plants	697		False
P53930	P53930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	226		False
Q10PI9	Q10PI9	Oryza sativa subsp. japonica	Plants	459		False
Q8WUA4	Q8WUA4	Homo sapiens	Metazoa	911		False
P38880	P38880	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	579		False
Q9Y6J8	Q9Y6J8	Homo sapiens	Metazoa	313		False
P32342	P32342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	167		False
Q9SIW2	Q9SIW2	Arabidopsis thaliana	Plants	888		False
Q0PGJ6	Q0PGJ6	Arabidopsis thaliana	Plants	315		False
Q9C7I5	Q9C7I5	Arabidopsis thaliana	Plants	189		False
P13489	P13489	Homo sapiens	Metazoa	461		False
Q9CUU3	Q9CUU3	Mus musculus	Metazoa	1500		False
Q8IM30	Q8IM30	Plasmodium falciparum (isolate 3D7)	Other	608		False
Q06608	Q06608	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	200		False
Q93W20	Q93W20	Arabidopsis thaliana	Plants	235		False
Q8RWG1	Q8RWG1	Arabidopsis thaliana	Plants	682		False
P53725	P53725	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	186		False
Q8RWG2	Q8RWG2	Arabidopsis thaliana	Plants	652		False
B3H5K9	B3H5K9	Arabidopsis thaliana	Plants	782		False
Q4WGS5	Q4WGS5	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	577		True
P32389	P32389	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	672		False
O35820	O35820	Rattus norvegicus	Metazoa	163		False
P28004	P28004	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	379		False
O75937	O75937	Homo sapiens	Metazoa	253		False
Q9FFK6	Q9FFK6	Arabidopsis thaliana	Plants	810		False
P50548	P50548	Homo sapiens	Metazoa	548		False
O42855	O42855	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	303		False
Q9H5J8	Q9H5J8	Homo sapiens	Metazoa	278		False
Q9SAH8	Q9SAH8	Arabidopsis thaliana	Plants	532		True
C4R8D7	C4R8D7	Komagataella phaffii (strain GS115 / ATCC 20864)	Fungi	409		False
O15164	O15164	Homo sapiens	Metazoa	1050		False
Q6TAS3	Q6TAS3	Solanum lycopersicum	Plants	902		False
Q8CHP0	Q8CHP0	Mus musculus	Metazoa	950		False
D4A4P4	D4A4P4	Rattus norvegicus	Metazoa	490		False
Q9C6T1	Q9C6T1	Arabidopsis thaliana	Plants	505		False
Q06184	Q06184	Euplotes crassus	Other	446		False
Q03385	Q03385	Mus musculus	Metazoa	852		False
Q8BLG0	Q8BLG0	Mus musculus	Metazoa	1010		False
O43913	O43913	Homo sapiens	Metazoa	435		False
Q9QZ59	Q9QZ59	Mus musculus	Metazoa	374		False
Q9H777	Q9H777	Homo sapiens	Metazoa	363		False
Q8GUT5	Q8GUT5	Arabidopsis thaliana	Plants	288		False
P09597	P09597	Spinacia oleracea	Plants	134		False
Q91XT6	Q91XT6	Mus musculus	Metazoa	489		False
Q08231	Q08231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455		False
Q76NM6	Q76NM6	Plasmodium falciparum (isolate 3D7)	Other	611		False
O43719	O43719	Homo sapiens	Metazoa	755		False
Q9Y7N1	Q9Y7N1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	240		False
O75626	O75626	Homo sapiens	Metazoa	825		False
Q8W1E3	Q8W1E3	Arabidopsis thaliana	Plants	298		False
Q96SB8	Q96SB8	Homo sapiens	Metazoa	1091		False
E1BUG7	E1BUG7	Gallus gallus	Metazoa	690		False
Q09146	Q09146	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	399		False
Q12068	Q12068	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	342		False
Q8W4E7	Q8W4E7	Arabidopsis thaliana	Plants	598		False
Q9VX12	Q9VX12	Drosophila melanogaster	Metazoa	359		False
P23610	P23610	Homo sapiens	Metazoa	371		False
Q7T0L4	Q7T0L4	Gallus gallus	Metazoa	329		False
J4KNE4	J4KNE4	Beauveria bassiana (strain ARSEF 2860)	Fungi	810		False
P35658	P35658	Homo sapiens	Metazoa	2090		False
O42250	O42250	Danio rerio	Metazoa	344		False
Q9VT04	Q9VT04	Drosophila melanogaster	Metazoa	471		True
Q9SR77	Q9SR77	Arabidopsis thaliana	Plants	309		False
P09234	P09234	Homo sapiens	Metazoa	159		False
P87233	P87233	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	461		False
Q9I7U4	Q9I7U4	Drosophila melanogaster	Metazoa	18141		False
Q2Q5T5	Q2Q5T5	Mus musculus	Metazoa	84		True
P12954	P12954	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1174		False
J9VIL4	J9VIL4	Cryptococcus neoformans (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	623		True
Q9H7B4	Q9H7B4	Homo sapiens	Metazoa	428		False
Q9SJH0	Q9SJH0	Arabidopsis thaliana	Plants	118		False
P01109	P01109	Gallus gallus	Metazoa	435		False
Q7L8L6	Q7L8L6	Homo sapiens	Metazoa	764		False
P09959	P09959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	803		False
P38285	P38285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	549		False
P40971	P40971	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	790		False
O60336	O60336	Homo sapiens	Metazoa	1514		False
Q69383	Q69383	Homo sapiens	Metazoa	105		False
P14724	P14724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	124		False
P40547	P40547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	921		False
Q9FFF4	Q9FFF4	Arabidopsis thaliana	Plants	477		False
Q86TV6	Q86TV6	Homo sapiens	Metazoa	843		False
Q1ZXU0	Q1ZXU0	Caenorhabditis elegans	Metazoa	205		False
P15325	P15325	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	533		True
Q9FFJ8	Q9FFJ8	Arabidopsis thaliana	Plants	449		False
Q62920	Q62920	Rattus norvegicus	Metazoa	591		False
Q9T0A4	Q9T0A4	Arabidopsis thaliana	Plants	250		False
Q96HA7	Q96HA7	Homo sapiens	Metazoa	1378		False
Q00IB6	Q00IB6	Arabidopsis thaliana	Plants	440		False
P70033	P70033	Xenopus laevis	Metazoa	435		False
Q99383	Q99383	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	534		False
P36516	P36516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	390		False
O75426	O75426	Homo sapiens	Metazoa	580		False
P49756	P49756	Homo sapiens	Metazoa	843		False
Q07381	Q07381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	788		False
P43244	P43244	Rattus norvegicus	Metazoa	845		False
F4I1T7	F4I1T7	Arabidopsis thaliana	Plants	1819		False
Q7TMF3	Q7TMF3	Mus musculus	Metazoa	145		False
P59942	P59942	Homo sapiens	Metazoa	119		False
Q9NZD1	Q9NZD1	Homo sapiens	Metazoa	345		True
E3Q1H1	E3Q1H1	Trypanosoma brucei brucei	Other	147		False
O94259	O94259	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	327		False
P49903	P49903	Homo sapiens	Metazoa	392		False
O74387	O74387	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	287		False
Q9VMD0	Q9VMD0	Drosophila melanogaster	Metazoa	1659		False
P06168	P06168	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	395		False
Q94545	Q94545	Drosophila melanogaster	Metazoa	556		False
Q61127	Q61127	Mus musculus	Metazoa	525		False
Q19555	Q19555	Caenorhabditis elegans	Metazoa	1096		False
Q9H0G5	Q9H0G5	Homo sapiens	Metazoa	558		False
Q80VM7	Q80VM7	Mus musculus	Metazoa	985		False
Q9LI74	Q9LI74	Arabidopsis thaliana	Plants	1004		False
Q8TDB6	Q8TDB6	Homo sapiens	Metazoa	740		False
Q21227	Q21227	Caenorhabditis elegans	Metazoa	1188		False
Q5Z8R1	Q5Z8R1	Oryza sativa subsp. japonica	Plants	455		False
Q8VYF7	Q8VYF7	Arabidopsis thaliana	Plants	238		False
P91645	P91645	Drosophila melanogaster	Metazoa	1851		True
P53835	P53835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	661		True
P03880	P03880	Emericella nidulans	Fungi	488		False
Q9NQX3	Q9NQX3	Homo sapiens	Metazoa	736		False
Q9H6U6	Q9H6U6	Homo sapiens	Metazoa	928		False
Q22355	Q22355	Caenorhabditis elegans	Metazoa	377		False
Q09463	Q09463	Caenorhabditis elegans	Metazoa	235		False
Q9H816	Q9H816	Homo sapiens	Metazoa	532		False
P56765	P56765	Arabidopsis thaliana	Plants	488		False
Q9C108	Q9C108	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	163		False
P87315	P87315	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1630		False
Q9Y222	Q9Y222	Homo sapiens	Metazoa	760		False
P25637	P25637	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	258		False
Q14289	Q14289	Homo sapiens	Metazoa	1009		False
Q8TEC5	Q8TEC5	Homo sapiens	Metazoa	729		False
Q9TZ70	Q9TZ70	Caenorhabditis elegans	Metazoa	205		False
Q00312	Q00312	Candida albicans	Fungi	527		False
Q09406	Q09406	Caenorhabditis elegans	Metazoa	534		False
Q2V2P9	Q2V2P9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	66		True
Q09228	Q09228	Caenorhabditis elegans	Metazoa	1129		False
P53061	P53061	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	704		False
Q9Y3C5	Q9Y3C5	Homo sapiens	Metazoa	154		False
P46940	P46940	Homo sapiens	Metazoa	1657		False
O94326	O94326	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	609		False
Q96JK9	Q96JK9	Homo sapiens	Metazoa	1138		False
Q86NP2	Q86NP2	Drosophila melanogaster	Metazoa	1251		False
Q8RWH9	Q8RWH9	Arabidopsis thaliana	Plants	513		False
Q96WV2	Q96WV2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	339		False
A0A8P0N4K0	A0A8P0N4K0	Canis lupus familiaris	Metazoa	1614		False
B9DFX7	B9DFX7	Arabidopsis thaliana	Plants	883		False
P36606	P36606	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	468		True
Q54PQ4	Q54PQ4	Dictyostelium discoideum	Other	605		False
Q9CWR0	Q9CWR0	Mus musculus	Metazoa	618		False
Q8C9B9	Q8C9B9	Mus musculus	Metazoa	2256		False
Q9P000	Q9P000	Homo sapiens	Metazoa	198		False
Q8BVN3	Q8BVN3	Mus musculus	Metazoa	442		True
Q9HD33	Q9HD33	Homo sapiens	Metazoa	250		False
P24919	P24919	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	273		False
F4I3V6	F4I3V6	Arabidopsis thaliana	Plants	192		False
A8MQL1	A8MQL1	Arabidopsis thaliana	Plants	1082		False
Q60698	Q60698	Mus musculus	Metazoa	725		False
Q8IUR6	Q8IUR6	Homo sapiens	Metazoa	639		False
P87238	P87238	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	215		False
O13974	O13974	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	329		False
O15297	O15297	Homo sapiens	Metazoa	605		False
Q9H3M7	Q9H3M7	Homo sapiens	Metazoa	391		False
P11596	P11596	Drosophila melanogaster	Metazoa	197		False
Q99MZ3	Q99MZ3	Mus musculus	Metazoa	864		False
Q6TCH4	Q6TCH4	Homo sapiens	Metazoa	344		True
Q15424	Q15424	Homo sapiens	Metazoa	915		False
Q9NYP3	Q9NYP3	Homo sapiens	Metazoa	566		False
Q9HB75	Q9HB75	Homo sapiens	Metazoa	910		False
Q5BJX1	Q5BJX1	Rattus norvegicus	Metazoa	134		False
S8F0G9	S8F0G9	Toxoplasma gondii (strain ATCC 50611 / Me49)	Other	920		False
Q8BGY7	Q8BGY7	Mus musculus	Metazoa	273		False
Q9QYB1	Q9QYB1	Mus musculus	Metazoa	253		True
Q9C682	Q9C682	Arabidopsis thaliana	Plants	226		False
Q7S6M9	Q7S6M9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	309		False
P42842	P42842	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	904		False
Q94AH1	Q94AH1	Arabidopsis thaliana	Plants	300		True
Q9JIL4	Q9JIL4	Mus musculus	Metazoa	519		False
P47158	P47158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	497		False
Q99PP2	Q99PP2	Mus musculus	Metazoa	2237		False
Q9Y2K1	Q9Y2K1	Homo sapiens	Metazoa	713		False
Q9Y6N1	Q9Y6N1	Homo sapiens	Metazoa	276		False
Q3SZ86	Q3SZ86	Bos taurus	Metazoa	205		False
Q8NBT2	Q8NBT2	Homo sapiens	Metazoa	197		False
Q8MLZ3	Q8MLZ3	Dictyostelium discoideum	Other	867		False
Q9XI00	Q9XI00	Arabidopsis thaliana	Plants	328		False
Q9VSK8	Q9VSK8	Drosophila melanogaster	Metazoa	597		False
Q60547	Q60547	Mesocricetus auratus	Metazoa	234		False
P46089	P46089	Homo sapiens	Metazoa	330		True
A6NFQ2	A6NFQ2	Homo sapiens	Metazoa	919		False
Q94JU3	Q94JU3	Arabidopsis thaliana	Plants	260		False
Q9EQR5	Q9EQR5	Mus musculus	Metazoa	269		True
Q5C9I9	Q5C9I9	Mentha piperita	Plants	265		False
Q9LE82	Q9LE82	Arabidopsis thaliana	Plants	535		False
Q9XIN0	Q9XIN0	Arabidopsis thaliana	Plants	650		False
Q6P6N5	Q6P6N5	Mus musculus	Metazoa	408		False
P0DW81	P0DW81	Homo sapiens	Metazoa	44		False
Q9FZD1	Q9FZD1	Arabidopsis thaliana	Plants	630		False
Q94AI4	Q94AI4	Arabidopsis thaliana	Plants	775		False
A0A1B0GUW7	A0A1B0GUW7	Homo sapiens	Metazoa	55		True
Q9BZR8	Q9BZR8	Homo sapiens	Metazoa	327		False
Q06315	Q06315	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1026		False
Q29455	Q29455	Bos taurus	Metazoa	198		False
O74808	O74808	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1238		False
Q9QZB0	Q9QZB0	Mus musculus	Metazoa	210		False
P32874	P32874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2273		False
Q96MF7	Q96MF7	Homo sapiens	Metazoa	247		False
A0A5B9G902	A0A5B9G902	Aureobasidium melanogenum	Fungi	521		False
P34427	P34427	Caenorhabditis elegans	Metazoa	962		False
Q9STG9	Q9STG9	Arabidopsis thaliana	Plants	561		False
Q04601	Q04601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	652		False
Q9SSE7	Q9SSE7	Arabidopsis thaliana	Plants	381		False
Q5ND34	Q5ND34	Mus musculus	Metazoa	1934		False
Q9NZE8	Q9NZE8	Homo sapiens	Metazoa	188		False
Q0DRX6	Q0DRX6	Oryza sativa subsp. japonica	Plants	902		False
Q9Y224	Q9Y224	Homo sapiens	Metazoa	244		False
O94468	O94468	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	213		False
Q01718	Q01718	Homo sapiens	Metazoa	297		True
P22469	P22469	Drosophila melanogaster	Metazoa	90		False
P33749	P33749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	630		False
P34447	P34447	Caenorhabditis elegans	Metazoa	867		False
P39749	P39749	Mus musculus	Metazoa	378		False
Q9S7B5	Q9S7B5	Arabidopsis thaliana	Plants	526		False
Q95749	Q95749	Arabidopsis thaliana	Plants	556		False
P82923	P82923	Bos taurus	Metazoa	293		False
Q9UJX3	Q9UJX3	Homo sapiens	Metazoa	565		False
Q9U3V9	Q9U3V9	Drosophila melanogaster	Metazoa	2079		False
P35228	P35228	Homo sapiens	Metazoa	1153		False
P47007	P47007	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382		False
Q9BY77	Q9BY77	Homo sapiens	Metazoa	421		False
P39683	P39683	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	429		False
Q9Z1B8	Q9Z1B8	Mus musculus	Metazoa	559		False
Q94F00	Q94F00	Arabidopsis thaliana	Plants	371		False
Q9Y5Z4	Q9Y5Z4	Homo sapiens	Metazoa	205		False
Q8BT35	Q8BT35	Mus musculus	Metazoa	56		True
O14519	O14519	Homo sapiens	Metazoa	115		False
Q04347	Q04347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519		False
Q8C9X6	Q8C9X6	Mus musculus	Metazoa	813		False
A0A0B5L781	A0A0B5L781	Penicillium brevicompactum	Fungi	398		False
Q9W415	Q9W415	Drosophila melanogaster	Metazoa	424		False
Q04110	Q04110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	302		False
Q8LPQ5	Q8LPQ5	Arabidopsis thaliana	Plants	1254		False
Q5SU73	Q5SU73	Mus musculus	Metazoa	570		False
Q12139	Q12139	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1133		False
P54258	P54258	Rattus norvegicus	Metazoa	1183		False
Q7XA78	Q7XA78	Arabidopsis thaliana	Plants	264		False
Q03799	Q03799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	155		False
O65680	O65680	Arabidopsis thaliana	Plants	279		False
Q9NYF8	Q9NYF8	Homo sapiens	Metazoa	920		False
P43605	P43605	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	281		False
Q99P21	Q99P21	Mus musculus	Metazoa	515		False
P40356	P40356	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	397		False
Q09690	Q09690	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1087		False
P57742	P57742	Arabidopsis thaliana	Plants	151		False
P61218	P61218	Homo sapiens	Metazoa	127		False
Q94AQ9	Q94AQ9	Arabidopsis thaliana	Plants	260		False
Q9UW82	Q9UW82	Komagataella pastoris	Fungi	187		True
Q9LJG6	Q9LJG6	Arabidopsis thaliana	Plants	193		False
P32318	P32318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	326		False
Q80Z37	Q80Z37	Mus musculus	Metazoa	1033		False
Q09687	Q09687	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	518		False
